+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[4].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[3].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[2].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[1].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|enc_inst             ; 26    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|f2|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|f2                   ; 3     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|f1|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|f1                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|f0|lpf_inst          ; 5     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder|f0                   ; 3     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst|encoders[0].encoder                      ; 28    ; 2              ; 1            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|enc_inst                                          ; 78    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|to_prescale                              ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[3].dst_cnt              ; 26    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[3].coord_cnt            ; 26    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[2].dst_cnt              ; 26    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[2].coord_cnt            ; 26    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[1].dst_cnt              ; 26    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[1].coord_cnt            ; 26    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[0].dst_cnt              ; 26    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst|gen_cnt[0].coord_cnt            ; 26    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cnt_inst                                 ; 37    ; 0              ; 1            ; 0              ; 256    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|V_inst                                   ; 5     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|U_inst                                   ; 5     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|Y_inst                                   ; 5     ; 1              ; 0            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|X_inst                                   ; 5     ; 1              ; 0            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|prescale_inst                  ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[3].step_inst|pls_inst      ; 41    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[3].step_inst               ; 71    ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[2].step_inst|pls_inst      ; 41    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[2].step_inst               ; 71    ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[1].step_inst|pls_inst      ; 41    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[1].step_inst               ; 71    ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[0].step_inst|pls_inst      ; 41    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst|gen[0].step_inst               ; 71    ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst|cont_inst                                ; 313   ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mcu_inst|main_inst|mtr_inst                                          ; 58    ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
